TNVED,OPISANIE,DATA,OPISANIE_CLEAN
7015,73,73,73
9104,74,74,74
4705,74,74,74
4706,74,74,74
7603,74,74,74
3606,75,75,75
8901,75,75,75
2819,75,75,75
7118,76,76,76
7403,76,76,76
5510,77,77,77
4007,77,77,77
5101,79,79,79
907,79,79,79
1106,80,80,80
2850,81,81,81
9208,81,81,81
5212,82,82,82
8476,82,82,82
3818,83,83,83
210,83,83,83
2810,83,83,83
1105,84,84,84
8902,84,84,84
2927,84,84,84
7506,85,85,85
9008,85,85,85
908,85,85,85
2308,85,85,85
3502,86,86,86
8606,86,86,86
8608,86,86,86
7103,88,88,88
8111,90,90,90
8454,90,90,90
8003,91,91,91
7004,91,91,91
2942,91,91,91
4816,93,93,93
209,93,93,93
5408,93,93,93
2816,93,93,93
5301,94,94,94
2518,94,94,94
7108,95,95,95
1109,95,95,95
6602,95,95,95
2813,96,96,96
2207,97,97,97
4404,97,97,97
2806,97,97,97
4416,97,97,97
2910,98,98,98
6308,98,98,98
2840,98,98,98
3806,101,101,101
5901,102,102,102
7806,103,103,103
2841,103,103,103
2809,104,104,104
9016,104,104,104
7301,105,105,105
8303,107,107,107
301,107,107,107
8102,107,107,107
5905,108,108,108
5909,108,108,108
7302,108,108,108
1201,108,108,108
9205,109,109,109
5201,109,109,109
3702,110,110,110
7224,110,110,110
5907,111,111,111
4807,111,111,111
7110,112,112,112
7404,112,112,112
2820,112,112,112
7106,114,114,114
5207,114,114,114
2846,114,114,114
9010,115,115,115
5513,115,115,115
409,116,116,116
6701,116,116,116
101,117,117,117
8463,117,117,117
2512,117,117,117
9305,118,118,118
1510,118,118,118
3003,118,118,118
711,119,119,119
3604,120,120,120
8447,121,121,121
2843,123,123,123
2919,124,124,124
5810,125,125,125
2829,125,125,125
1210,126,126,126
3503,126,126,126
1513,127,127,127
404,127,127,127
5210,127,127,127
8709,128,128,128
7602,128,128,128
1507,129,129,129
8713,129,129,129
102,130,130,130
2832,130,130,130
1504,132,132,132
8440,133,133,133
1206,133,133,133
3803,134,134,134
2928,134,134,134
2826,135,135,135
9111,136,136,136
906,137,137,137
8457,138,138,138
1301,138,138,138
9611,139,139,139
8486,139,139,139
5502,140,140,140
6507,141,141,141
4006,141,141,141
7410,142,142,142
714,142,142,142
9508,144,144,144
5904,144,144,144
2506,144,144,144
8105,145,145,145
8402,146,146,146
2817,147,147,147
5902,147,147,147
2807,150,150,150
2522,150,150,150
6310,151,151,151
9006,151,151,151
6504,152,152,152
8417,153,153,153
4905,153,153,153
201,154,154,154
9605,154,154,154
7303,154,154,154
2839,159,159,159
5109,161,161,161
2526,161,161,161
2006,161,161,161
8522,163,163,163
2702,164,164,164
1703,164,164,164
9108,164,164,164
2926,170,170,170
7413,171,171,171
8907,171,171,171
1520,171,171,171
6803,176,176,176
8802,176,176,176
8304,180,180,180
9202,180,180,180
2521,181,181,181
5309,187,187,187
2904,189,189,189
2842,189,189,189
2516,191,191,191
4908,193,193,193
8405,194,194,194
2853,194,194,194
7505,195,195,195
308,196,196,196
2814,199,199,199
5516,208,208,208
7201,209,209,209
2920,210,210,210
4503,211,211,211
2906,211,211,211
3202,213,213,213
8439,213,213,213
2938,216,216,216
1003,217,217,217
5811,217,217,217
8434,220,220,220
2939,221,221,221
504,222,222,222
7008,223,223,223
7016,225,225,225
1102,226,226,226
7409,228,228,228
2940,229,229,229
9614,231,231,231
7407,232,232,232
5508,233,233,233
6905,234,234,234
2707,235,235,235
9602,236,236,236
8437,237,237,237
1008,237,237,237
708,238,238,238
8461,241,241,241
7226,241,241,241
8702,243,243,243
402,245,245,245
5807,247,247,247
8478,247,247,247
8458,250,250,250
7801,250,250,250
4909,251,251,251
5404,253,253,253
2821,253,253,253
4817,254,254,254
8104,254,254,254
2520,255,255,255
5206,257,257,257
5604,258,258,258
2003,258,258,258
3001,259,259,259
7116,259,259,259
8459,260,260,260
5704,263,263,263
2503,264,264,264
5515,264,264,264
2834,264,264,264
5211,267,267,267
8420,269,269,269
2523,269,269,269
1801,270,270,270
3504,270,270,270
5511,274,274,274
8101,276,276,276
8464,277,277,277
5509,278,278,278
2828,281,281,281
3914,284,284,284
2844,284,284,284
7104,286,286,286
9610,287,287,287
4808,290,290,290
9106,291,291,291
2925,293,293,293
1804,294,294,294
9618,294,294,294
1404,295,295,295
6814,295,295,295
8455,300,300,300
5910,300,300,300
8468,304,304,304
2825,305,305,305
3701,306,306,306
7002,306,306,306
1511,310,310,310
3804,313,313,313
1212,316,316,316
8112,316,316,316
511,316,316,316
2519,320,320,320
8705,324,324,324
3801,326,326,326
9604,328,328,328
4107,330,330,330
9024,330,330,330
7212,330,330,330
2929,332,332,332
2849,339,339,339
7223,339,339,339
5804,340,340,340
2302,340,340,340
3915,342,342,342
2937,346,346,346
2301,349,349,349
2704,353,353,353
7211,356,356,356
3203,356,356,356
4304,358,358,358
4017,358,358,358
4601,360,360,360
2935,360,360,360
1803,364,364,364
7006,364,364,364
7605,365,365,365
2105,365,365,365
9206,368,368,368
9107,370,370,370
5808,371,371,371
6004,372,372,372
6704,372,372,372
2601,376,376,376
3913,381,381,381
2847,382,382,382
8113,383,383,383
6005,384,384,384
8540,386,386,386
4417,388,388,388
7305,389,389,389
2205,390,390,390
2912,390,390,390
8442,392,392,392
4806,396,396,396
2505,399,399,399
7408,399,399,399
8448,400,400,400
9023,401,401,401
5609,407,407,407
8426,412,412,412
6808,414,414,414
6213,414,414,414
8903,417,417,417
2907,423,423,423
4402,424,424,424
7319,428,428,428
5209,430,430,430
2524,430,430,430
9020,439,439,439
7220,439,439,439
5906,442,442,442
2209,445,445,445
7014,446,446,446
2507,446,446,446
8715,448,448,448
4813,452,452,452
8460,459,459,459
9011,462,462,462
8456,463,463,463
5503,465,465,465
6309,467,467,467
2306,468,468,468
405,469,469,469
2529,470,470,470
4707,475,475,475
1107,484,484,484
9101,485,485,485
7018,486,486,486
3213,487,487,487
3823,488,488,488
4504,488,488,488
9209,490,490,490
5801,492,492,492
8712,493,493,493
4910,494,494,494
9033,496,496,496
4903,499,499,499
1516,505,505,505
3407,508,508,508
1514,508,508,508
8441,510,510,510
3810,521,521,521
9005,524,524,524
1202,526,526,526
6811,526,526,526
2923,532,532,532
1108,535,535,535
9620,542,542,542
4201,547,547,547
3104,547,547,547
8210,548,548,548
9612,555,555,555
3809,556,556,556
7215,558,558,558
9606,559,559,559
1204,560,560,560
7508,561,561,561
3210,562,562,562
4001,562,562,562
2402,572,572,572
2902,581,581,581
305,584,584,584
6909,584,584,584
2901,585,585,585
3812,587,587,587
6809,588,588,588
2903,589,589,589
7205,590,590,590
2932,594,594,594
2712,595,595,595
9406,599,599,599
2713,600,600,600
5514,601,601,601
3802,602,602,602
1509,604,604,604
6215,605,605,605
4803,608,608,608
4013,611,611,611
1805,613,613,613
4812,615,615,615
909,616,616,616
2914,618,618,618
4907,628,628,628
7217,629,629,629
2924,634,634,634
407,634,634,634
801,637,637,637
4205,639,639,639
8514,641,641,641
2815,650,650,650
712,650,650,650
6902,655,655,655
7102,659,659,659
5602,660,660,660
5608,665,665,665
8411,665,665,665
9114,671,671,671
5512,674,674,674
106,675,675,675
6903,678,678,678
3404,685,685,685
2501,686,686,686
9028,688,688,688
3821,690,690,690
2303,690,690,690
2930,694,694,694
2104,695,695,695
9402,695,695,695
4902,696,696,696
9613,704,704,704
2941,705,705,705
2909,706,706,706
2715,707,707,707
1209,710,710,710
1518,712,712,712
7213,712,712,712
2804,713,713,713
307,723,723,723
3911,730,730,730
7907,738,738,738
3912,739,739,739
3207,741,741,741
6904,741,741,741
2703,742,742,742
2931,743,743,743
6306,752,752,752
1101,755,755,755
5402,764,764,764
6801,767,767,767
5401,768,768,768
6401,768,768,768
705,772,772,772
7202,775,775,775
807,775,775,775
9105,775,775,775
2517,775,775,775
1515,780,780,780
2304,792,792,792
4414,796,796,796
2818,803,803,803
2827,815,815,815
7309,817,817,817
7311,819,819,819
9616,826,826,826
3815,829,829,829
1211,830,830,830
8436,839,839,839
2508,840,840,840
203,840,840,840
1512,842,842,842
8462,843,843,843
2835,847,847,847
3908,848,848,848
802,850,850,850
7113,855,855,855
7601,856,856,856
2833,857,857,857
4012,858,858,858
7204,865,865,865
5208,868,868,868
8607,868,868,868
7418,869,869,869
2530,871,871,871
1302,876,876,876
9014,876,876,876
3507,878,878,878
2936,886,886,886
1701,891,891,891
2403,896,896,896
1103,900,900,900
3816,910,910,910
2917,917,917,917
2921,917,917,917
4005,922,922,922
4014,925,925,925
5601,926,926,926
8212,937,937,937
8305,939,939,939
8548,940,940,940
3819,943,943,943
8416,946,946,946
8546,952,952,952
2102,953,953,953
3505,956,956,956
2811,957,957,957
1006,960,960,960
8451,966,966,966
6001,969,969,969
904,971,971,971
9607,975,975,975
7317,979,979,979
6216,985,985,985
1702,985,985,985
3212,986,986,986
2916,1002,1002,1002
9617,1009,1009,1009
8310,1017,1017,1017
7609,1022,1022,1022
6601,1022,1022,1022
8213,1030,1030,1030
710,1039,1039,1039
5205,1041,1041,1041
8430,1043,1043,1043
8521,1047,1047,1047
3301,1048,1048,1048
8519,1055,1055,1055
2401,1058,1058,1058
8470,1061,1061,1061
8311,1062,1062,1062
2002,1064,1064,1064
3905,1067,1067,1067
9003,1067,1067,1067
8502,1074,1074,1074
707,1076,1076,1076
7222,1080,1080,1080
401,1088,1088,1088
9507,1105,1105,1105
9113,1110,1110,1110
811,1112,1112,1112
7411,1113,1113,1113
3903,1135,1135,1135
6207,1154,1154,1154
8108,1163,1163,1163
6006,1166,1166,1166
3918,1174,1174,1174
4015,1177,1177,1177
2934,1179,1179,1179
6914,1181,1181,1181
4303,1206,1206,1206
6305,1206,1206,1206
4814,1208,1208,1208
8206,1211,1211,1211
2206,1216,1216,1216
8535,1217,1217,1217
7207,1233,1233,1233
206,1234,1234,1234
4602,1237,1237,1237
3105,1239,1239,1239
7610,1245,1245,1245
6813,1249,1249,1249
7607,1254,1254,1254
813,1255,1255,1255
8480,1284,1284,1284
3707,1290,1290,1290
5903,1310,1310,1310
304,1319,1319,1319
1207,1323,1323,1323
2709,1334,1334,1334
7612,1346,1346,1346
7229,1346,1346,1346
4415,1347,1347,1347
8214,1350,1350,1350
8465,1353,1353,1353
4420,1356,1356,1356
9022,1360,1360,1360
713,1363,1363,1363
5705,1363,1363,1363
601,1388,1388,1388
7314,1391,1391,1391
5607,1391,1391,1391
3820,1392,1392,1392
7017,1400,1400,1400
9207,1409,1409,1409
2836,1435,1435,1435
4408,1441,1441,1441
3102,1448,1448,1448
7322,1454,1454,1454
306,1457,1457,1457
9609,1465,1465,1465
6913,1496,1496,1496
8306,1497,1497,1497
302,1512,1512,1512
7606,1527,1527,1527
6810,1528,1528,1528
2918,1530,1530,1530
3910,1533,1533,1533
6702,1548,1548,1548
8201,1559,1559,1559
3406,1560,1560,1560
4419,1580,1580,1580
4801,1583,1583,1583
3204,1603,1603,1603
910,1606,1606,1606
8472,1608,1608,1608
3006,1618,1618,1618
1001,1619,1619,1619
8503,1637,1637,1637
4703,1660,1660,1660
8215,1661,1661,1661
2915,1666,1666,1666
6506,1672,1672,1672
1517,1673,1673,1673
2922,1674,1674,1674
1104,1682,1682,1682
8477,1704,1704,1704
1601,1764,1764,1764
3005,1765,1765,1765
6303,1771,1771,1771
7117,1771,1771,1771
8403,1779,1779,1779
4409,1797,1797,1797
9002,1803,1803,1803
7216,1816,1816,1816
9015,1819,1819,1819
7615,1838,1838,1838
803,1857,1857,1857
8527,1863,1863,1863
5702,1865,1865,1865
3405,1867,1867,1867
8428,1895,1895,1895
3206,1901,1901,1901
1904,1908,1908,1908
6217,1916,1916,1916
7225,1926,1926,1926
9504,1927,1927,1927
1605,1929,1929,1929
6406,1935,1935,1935
7214,1942,1942,1942
6113,1942,1942,1942
2001,1947,1947,1947
6304,1964,1964,1964
702,1970,1970,1970
5806,1978,1978,1978
8506,1981,1981,1981
2905,1988,1988,1988
8474,1988,1988,1988
6911,1997,1997,1997
5703,2025,2025,2025
8438,2031,2031,2031
7219,2039,2039,2039
8545,2054,2054,2054
7324,2061,2061,2061
701,2062,2062,2062
2007,2063,2063,2063
3814,2088,2088,2088
6301,2097,2097,2097
3811,2100,2100,2100
6806,2105,2105,2105
6802,2108,2108,2108
202,2109,2109,2109
4008,2127,2127,2127
4802,2130,2130,2130
8534,2132,2132,2132
8513,2151,2151,2151
6405,2164,2164,2164
3808,2175,2175,2175
7209,2185,2185,2185
3904,2201,2201,2201
8510,2251,2251,2251
9019,2256,2256,2256
6812,2257,2257,2257
2201,2270,2270,2270
704,2306,2306,2306
6815,2321,2321,2321
7228,2330,2330,2330
3916,2340,2340,2340
7020,2345,2345,2345
8209,2388,2388,2388
2004,2400,2400,2400
8307,2444,2444,2444
1902,2445,2445,2445
6208,2449,2449,2449
3215,2488,2488,2488
2101,2490,2490,2490
2711,2492,2492,2492
5603,2535,2535,2535
207,2549,2549,2549
3302,2550,2550,2550
8425,2580,2580,2580
706,2585,2585,2585
9004,2594,2594,2594
4820,2597,2597,2597
8452,2600,2600,2600
703,2696,2696,2696
8487,2734,2734,2734
8308,2736,2736,2736
8701,2745,2745,2745
4818,2746,2746,2746
2933,2851,2851,2851
3906,2856,2856,2856
7210,2918,2918,2918
2803,2937,2937,2937
5407,2947,2947,2947
1901,2954,2954,2954
8211,2963,2963,2963
8609,2964,2964,2964
406,2966,2966,2966
8202,2994,2994,2994
7005,3008,3008,3008
4418,3009,3009,3009
4821,3084,3084,3084
4805,3111,3111,3111
9615,3146,3146,3146
9021,3152,3152,3152
2009,3216,3216,3216
4804,3227,3227,3227
7310,3259,3259,3259
9001,3288,3288,3288
902,3323,3323,3323
901,3327,3327,3327
6805,3348,3348,3348
8433,3375,3375,3375
8423,3411,3411,3411
4901,3412,3412,3412
7604,3452,3452,3452
5911,3453,3453,3453
3209,3467,3467,3467
3909,3483,3483,3483
8714,3500,3500,3500
3306,3525,3525,3525
7608,3526,3526,3526
804,3554,3554,3554
4421,3561,3561,3561
6912,3577,3577,3577
8309,3590,3590,3590
9030,3601,3601,3601
6209,3618,3618,3618
7312,3621,3621,3621
8408,3623,3623,3623
7019,3667,3667,3667
403,3674,3674,3674
303,3738,3738,3738
9608,3758,3758,3758
8707,3895,3895,3895
3922,3919,3919,3919
8432,3946,3946,3946
2008,3953,3953,3953
8531,3986,3986,3986
3902,4012,4012,4012
2005,4035,4035,4035
8704,4063,4063,4063
6804,4088,4088,4088
6112,4101,4101,4101
6105,4107,4107,4107
8543,4140,4140,4140
2309,4181,4181,4181
6910,4217,4217,4217
3901,4237,4237,4237
7412,4242,4242,4242
1602,4252,4252,4252
6807,4257,4257,4257
7415,4259,4259,4259
6116,4279,4279,4279
6117,4319,4319,4319
7321,4322,4322,4322
6214,4381,4381,4381
3506,4423,4423,4423
809,4425,4425,4425
8429,4458,4458,4458
6101,4558,4558,4558
8508,4571,4571,4571
8515,4696,4696,4696
9619,4766,4766,4766
3907,4821,4821,4821
7010,4840,4840,4840
8208,4852,4852,4852
8711,4903,4903,4903
4411,4930,4930,4930
3822,4941,4941,4941
7308,4967,4967,4967
8427,4970,4970,4970
8450,4989,4989,4989
8203,5012,5012,5012
8526,5013,5013,5013
9017,5217,5217,5217
9404,5232,5232,5232
4203,5236,5236,5236
8422,5237,5237,5237
9505,5355,5355,5355
6114,5368,5368,5368
4810,5383,5383,5383
4410,5422,5422,5422
4811,5471,5471,5471
7325,5526,5526,5526
6212,5536,5536,5536
9013,5540,5540,5540
7315,5592,5592,5592
8419,5653,5653,5653
602,5690,5690,5690
6211,5751,5751,5751
9506,5753,5753,5753
4823,5777,5777,5777
7419,5824,5824,5824
3214,5857,5857,5857
8473,5970,5970,5970
2103,6131,6131,6131
6111,6161,6161,6161
6106,6166,6166,6166
6102,6172,6172,6172
604,6174,6174,6174
4002,6229,6229,6229
2202,6239,6239,6239
7304,6320,6320,6320
3303,6398,6398,6398
6210,6406,6406,6406
8547,6421,6421,6421
6302,6433,6433,6433
7208,6465,6465,6465
9029,6491,6491,6491
8424,6496,6496,6496
3002,6692,6692,6692
2701,6738,6738,6738
7323,6739,6739,6739
3208,6755,6755,6755
8466,6843,6843,6843
8716,6857,6857,6857
709,6986,6986,6986
8204,7027,7027,7027
3824,7098,7098,7098
3925,7146,7146,7146
8505,7152,7152,7152
7007,7257,7257,7257
810,7370,7370,7370
8525,7377,7377,7377
3921,7394,7394,7394
1604,7444,7444,7444
7306,7569,7569,7569
806,7657,7657,7657
8479,7665,7665,7665
4911,7666,7666,7666
8507,7756,7756,7756
6107,7820,7820,7820
8415,7895,7895,7895
9032,7945,7945,7945
4819,7957,7957,7957
3307,8033,8033,8033
6205,8194,8194,8194
3401,8257,8257,8257
805,8300,8300,8300
9027,8416,8416,8416
808,8449,8449,8449
8539,8475,8475,8475
8509,8641,8641,8641
7009,8706,8706,8706
3920,8944,8944,8944
8529,8947,8947,8947
1704,9075,9075,9075
2208,9090,9090,9090
8443,9109,9109,9109
8407,9379,9379,9379
6907,9413,9413,9413
7013,9520,9520,9520
2203,9914,9914,9914
4412,10120,10120,10120
2106,10121,10121,10121
3924,10356,10356,10356
3305,10794,10794,10794
8528,10837,10837,10837
8431,11035,11035,11035
6505,11204,11204,11204
9025,11314,11314,11314
6307,11349,11349,11349
9102,11476,11476,11476
3402,11892,11892,11892
9031,12093,12093,12093
7616,12193,12193,12193
3919,12414,12414,12414
8205,12701,12701,12701
8533,12910,12910,12910
8532,13086,13086,13086
8301,13099,13099,13099
9603,13513,13513,13513
8418,13807,13807,13807
6108,13936,13936,13936
6404,14100,14100,14100
1905,14252,14252,14252
3923,14391,14391,14391
6206,14538,14538,14538
8523,15103,15103,15103
9018,15202,15202,15202
8538,15394,15394,15394
6103,15416,15416,15416
3403,15466,15466,15466
1806,15708,15708,15708
6115,16319,16319,16319
8511,16427,16427,16427
8484,16440,16440,16440
4010,16522,16522,16522
9401,16852,16852,16852
7320,16927,16927,16927
9026,16968,16968,16968
8467,16998,16998,16998
4401,17243,17243,17243
8412,17243,17243,17243
8537,17289,17289,17289
9405,17425,17425,17425
9503,17734,17734,17734
8501,18074,18074,18074
4403,18786,18786,18786
8207,18907,18907,18907
8518,19857,19857,19857
6201,19940,19940,19940
7307,20093,20093,20093
603,20989,20989,20989
8541,21144,21144,21144
8409,21203,21203,21203
3304,21822,21822,21822
6402,21952,21952,21952
2204,24259,24259,24259
6109,24698,24698,24698
6203,24720,24720,24720
8482,26333,26333,26333
8512,26384,26384,26384
3917,26498,26498,26498
8504,27185,27185,27185
6202,28786,28786,28786
4009,29665,29665,29665
8413,32002,32002,32002
4202,32002,32002,32002
8703,32801,32801,32801
3004,34177,34177,34177
9403,35347,35347,35347
8302,36765,36765,36765
8414,38890,38890,38890
8516,38971,38971,38971
8544,39402,39402,39402
2710,40289,40289,40289
6403,43047,43047,43047
6104,43855,43855,43855
8517,43970,43970,43970
8471,44144,44144,44144
8542,51116,51116,51116
8421,54747,54747,54747
8483,55773,55773,55773
4407,58790,58790,58790
8481,59686,59686,59686
6110,60671,60671,60671
4011,61471,61471,61471
6204,63089,63089,63089
7326,77783,77783,77783
8536,86788,86788,86788
4016,87399,87399,87399
3926,106292,106292,106292
7318,134523,134523,134523
8708,208058,208058,208058
